Accuracy,Loss
0.0733758,8.866167
0.19352867,2.371569
0.2739363,1.3991653
0.3242293,1.3618239
0.33049682,1.4189355
0.3346242,1.4851428
0.3166879,1.4042104
0.3270828,1.5493679
0.31286624,1.495374
0.27001274,1.8741722
0.27709556,2.0441484
0.2069809,2.7479508
0.25442037,2.522399
0.26644585,2.4241045
0.23128663,3.0855951
0.20015286,3.540836
0.19500637,4.070298
0.21182166,4.290328
0.19796178,4.7495704
0.17926115,5.2123084
0.15266243,5.9787908
0.15312102,6.6969695
0.12703185,6.808663
0.11434395,9.551631
0.11332484,10.013988
0.10690446,13.156544
0.088203825,13.024452
0.09686624,17.517902
0.10338853,14.636915
0.0997707,19.437817
